# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
11901.1653709, 10144.9538853, 4.5, 4899.13761248
11852.2231785, 10100.7372191, 4.49, 4889.30075671
11803.3793584, 10056.6155215, 4.48, 4879.46314284
11754.6339183, 10012.588795, 4.47, 4869.62476808
11705.9868658, 9968.65704225, 4.46, 4859.7856296
11657.4382084, 9924.82026588, 4.45, 4849.94572456
11608.987954, 9881.07846852, 4.44, 4840.10505012
11560.6361101, 9837.43165279, 4.43, 4830.26360337
11512.3826847, 9793.87982137, 4.42, 4820.42138145
11464.2276853, 9750.42297691, 4.41, 4810.57838144
11416.1711198, 9707.06112208, 4.4, 4800.73460042
11368.212996, 9663.79425957, 4.39, 4790.89003544
11320.3533218, 9620.62239207, 4.38, 4781.04468354
11272.5921051, 9577.54552228, 4.37, 4771.19854174
11224.9293538, 9534.56365292, 4.36, 4761.35160705
11177.3650758, 9491.67678671, 4.35, 4751.50387644
11129.8992791, 9448.88492639, 4.34, 4741.65534688
11082.5319717, 9406.18807469, 4.33, 4731.80601533
11035.2631616, 9363.58623439, 4.32, 4721.95587871
10988.092857, 9321.07940823, 4.31, 4712.10493392
10941.0210658, 9278.667599, 4.3, 4702.25317786
10894.0477963, 9236.35080949, 4.29, 4692.40060741
10847.1730565, 9194.1290425, 4.28, 4682.5472194
10800.3968548, 9152.00230083, 4.27, 4672.69301068
10753.7191992, 9109.97058731, 4.26, 4662.83797806
10707.1400981, 9068.03390476, 4.25, 4652.98211833
10660.6595598, 9026.19225604, 4.24, 4643.12542826
10614.2775925, 8984.44564399, 4.23, 4633.26790461
10567.9942047, 8942.79407148, 4.22, 4623.40954411
10521.8094046, 8901.2375414, 4.21, 4613.55034347
10475.7232008, 8859.77605661, 4.2, 4603.69029937
10429.7356016, 8818.40962003, 4.19, 4593.8294085
10383.8466156, 8777.13823457, 4.18, 4583.9676675
10338.0562513, 8735.96190315, 4.17, 4574.105073
10292.3645172, 8694.8806287, 4.16, 4564.2416216
10246.7714219, 8653.89441418, 4.15, 4554.37730989
10201.276974, 8613.00326253, 4.14, 4544.51213443
10155.8811822, 8572.20717673, 4.13, 4534.64609176
10110.5840553, 8531.50615977, 4.12, 4524.7791784
10065.3856018, 8490.90021463, 4.11, 4514.91139085
10020.2858305, 8450.38934433, 4.1, 4505.04272558
9975.28475036, 8409.97355188, 4.09, 4495.17317903
9930.38237008, 8369.65284031, 4.08, 4485.30274765
9885.57869856, 8329.42721267, 4.07, 4475.43142782
9840.87374468, 8289.29667201, 4.06, 4465.55921593
9796.2675174, 8249.26122141, 4.05, 4455.68610835
9751.76002569, 8209.32086394, 4.04, 4445.81210139
9707.35127856, 8169.4756027, 4.03, 4435.93719138
9663.04128507, 8129.72544079, 4.02, 4426.06137459
9618.83005429, 8090.07038135, 4.01, 4416.18464729
9574.71759535, 8050.51042749, 4.0, 4406.30700571
9530.70391743, 8011.04558236, 3.99, 4396.42844606
9486.78902969, 7971.67584913, 3.98, 4386.54896453
9442.97294141, 7932.40123097, 3.97, 4376.66855727
9399.25566183, 7893.22173106, 3.96, 4366.78722043
9355.63720031, 7854.13735261, 3.95, 4356.9049501
9312.11756615, 7815.14809882, 3.94, 4347.02174238
9268.69676878, 7776.25397292, 3.93, 4337.13759331
9225.37481762, 7737.45497816, 3.92, 4327.25249892
9182.15172216, 7698.75111778, 3.91, 4317.36645523
9139.0274919, 7660.14239507, 3.9, 4307.4794582
9096.00213639, 7621.62881328, 3.89, 4297.59150377
9053.07566522, 7583.21037574, 3.88, 4287.70258788
9010.24808805, 7544.88708574, 3.87, 4277.81270641
8967.51941453, 7506.65894661, 3.86, 4267.92185522
8924.88965439, 7468.52596169, 3.85, 4258.03003015
8882.3588174, 7430.48813433, 3.84, 4248.13722701
8839.92691333, 7392.54546791, 3.83, 4238.24344158
8797.59395206, 7354.6979658, 3.82, 4228.3486696
8755.35994345, 7316.9456314, 3.81, 4218.45290679
8713.22489744, 7279.28846814, 3.8, 4208.55614884
8671.18882401, 7241.72647942, 3.79, 4198.65839141
8629.25173317, 7204.2596687, 3.78, 4188.75963012
8587.41363498, 7166.88803944, 3.77, 4178.85986059
8545.67453955, 7129.61159511, 3.76, 4168.95907837
8504.03445702, 7092.4303392, 3.75, 4159.05727899
8462.49339759, 7055.34427521, 3.74, 4149.15445797
8421.05137151, 7018.35340667, 3.73, 4139.25061077
8379.70838903, 6981.4577371, 3.72, 4129.34573283
8338.46446052, 6944.65727007, 3.71, 4119.43981956
8297.31959633, 6907.95200914, 3.7, 4109.53286634
8256.27380689, 6871.34195789, 3.69, 4099.6248685
8215.32710268, 6834.82711993, 3.68, 4089.71582136
8174.4794942, 6798.40749887, 3.67, 4079.80572018
8133.73099203, 6762.08309835, 3.66, 4069.89456021
8093.08160677, 6725.85392201, 3.65, 4059.98233665
8052.53134909, 6689.71997353, 3.64, 4050.06904468
8012.08022969, 6653.68125658, 3.63, 4040.15467941
7971.72825933, 6617.73777487, 3.62, 4030.23923597
7931.47544882, 6581.88953211, 3.61, 4020.3227094
7891.321809, 6546.13653205, 3.6, 4010.40509474
7851.2673508, 6510.47877843, 3.59, 4000.48638697
7811.31208517, 6474.91627502, 3.58, 3990.56658106
7771.4560231, 6439.4490256, 3.57, 3980.64567191
7731.69917566, 6404.077034, 3.56, 3970.7236544
7692.04155396, 6368.80030402, 3.55, 3960.80052338
7652.48316917, 6333.61883951, 3.54, 3950.87627364
7613.02403248, 6298.53264433, 3.53, 3940.95089995
7573.66415518, 6263.54172235, 3.52, 3931.02439703
7534.40354857, 6228.64607748, 3.51, 3921.09675956
7495.24222404, 6193.84571363, 3.5, 3911.16798219
7456.180193, 6159.14063472, 3.49, 3901.23805952
7417.21746694, 6124.53084472, 3.48, 3891.30698611
7378.35405739, 6090.01634759, 3.47, 3881.37475648
7339.58997594, 6055.59714732, 3.46, 3871.4413651
7300.92523424, 6021.27324793, 3.45, 3861.50680643
7262.35984398, 5987.04465344, 3.44, 3851.57107483
7223.89381693, 5952.9113679, 3.43, 3841.63416467
7185.5271649, 5918.87339538, 3.42, 3831.69607026
7147.25989976, 5884.93073998, 3.41, 3821.75678585
7109.09203344, 5851.08340578, 3.4, 3811.81630565
7071.02357792, 5817.33139694, 3.39, 3801.87462385
7033.05454526, 5783.67471758, 3.38, 3791.93173457
6995.18494755, 5750.1133719, 3.37, 3781.98763188
6957.41479696, 5716.64736406, 3.36, 3772.04230983
6919.74410572, 5683.2766983, 3.35, 3762.09576239
6882.1728861, 5650.00137883, 3.34, 3752.14798351
6844.70115045, 5616.82140991, 3.33, 3742.19896708
6807.32891119, 5583.73679582, 3.32, 3732.24870693
6770.05618076, 5550.74754085, 3.31, 3722.29719686
6732.88297172, 5517.85364932, 3.3, 3712.34443062
6695.80929666, 5485.05512558, 3.29, 3702.3904019
6658.83516821, 5452.35197397, 3.28, 3692.43510432
