# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
11911.1653709, 10134.9538853, 4.5, 4899.13761249
11862.2231785, 10090.7372191, 4.49, 4889.30075671
11813.3793584, 10046.6155215, 4.48, 4879.46314284
11764.6339183, 10002.588795, 4.47, 4869.62476808
11715.9868658, 9958.65704225, 4.46, 4859.7856296
11667.4382084, 9914.82026588, 4.45, 4849.94572456
11618.987954, 9871.07846851, 4.44, 4840.10505011
11570.6361102, 9827.43165279, 4.43, 4830.26360337
11522.3826847, 9783.87982137, 4.42, 4820.42138145
11474.2276853, 9740.42297691, 4.41, 4810.57838144
11426.1711198, 9697.06112208, 4.4, 4800.73460042
11378.212996, 9653.79425957, 4.39, 4790.89003544
11330.3533218, 9610.62239207, 4.38, 4781.04468354
11282.5921051, 9567.54552228, 4.37, 4771.19854174
11234.9293538, 9524.56365292, 4.36, 4761.35160705
11187.3650758, 9481.67678671, 4.35, 4751.50387644
11139.8992791, 9438.88492639, 4.34, 4741.65534688
11092.5319717, 9396.1880747, 4.33, 4731.80601533
11045.2631616, 9353.58623439, 4.32, 4721.95587871
10998.092857, 9311.07940823, 4.31, 4712.10493392
10951.0210658, 9268.667599, 4.3, 4702.25317786
10904.0477963, 9226.35080949, 4.29, 4692.4006074
10857.1730565, 9184.1290425, 4.28, 4682.5472194
10810.3968548, 9142.00230083, 4.27, 4672.69301068
10763.7191992, 9099.97058731, 4.26, 4662.83797806
10717.1400981, 9058.03390476, 4.25, 4652.98211833
10670.6595598, 9016.19225604, 4.24, 4643.12542826
10624.2775925, 8974.44564399, 4.23, 4633.26790461
10577.9942047, 8932.79407148, 4.22, 4623.40954411
10531.8094046, 8891.2375414, 4.21, 4613.55034347
10485.7232008, 8849.77605661, 4.2, 4603.69029938
10439.7356016, 8808.40962003, 4.19, 4593.8294085
10393.8466156, 8767.13823457, 4.18, 4583.9676675
10348.0562513, 8725.96190315, 4.17, 4574.105073
10302.3645172, 8684.8806287, 4.16, 4564.2416216
10256.7714219, 8643.89441418, 4.15, 4554.37730989
10211.276974, 8603.00326253, 4.14, 4544.51213443
10165.8811822, 8562.20717673, 4.13, 4534.64609176
10120.5840552, 8521.50615977, 4.12, 4524.7791784
10075.3856018, 8480.90021463, 4.11, 4514.91139085
10030.2858305, 8440.38934433, 4.1, 4505.04272558
9985.28475037, 8399.97355188, 4.09, 4495.17317903
9940.38237008, 8359.65284031, 4.08, 4485.30274764
9895.57869855, 8319.42721267, 4.07, 4475.43142782
9850.87374468, 8279.29667201, 4.06, 4465.55921593
9806.2675174, 8239.26122141, 4.05, 4455.68610835
9761.76002568, 8199.32086394, 4.04, 4445.81210139
9717.35127856, 8159.4756027, 4.03, 4435.93719138
9673.04128507, 8119.7254408, 4.02, 4426.06137459
9628.83005429, 8080.07038135, 4.01, 4416.18464729
9584.71759535, 8040.51042749, 4.0, 4406.30700571
9540.70391742, 8001.04558236, 3.99, 4396.42844606
9496.78902969, 7961.67584913, 3.98, 4386.54896453
9452.97294141, 7922.40123097, 3.97, 4376.66855727
9409.25566183, 7883.22173106, 3.96, 4366.78722043
9365.6372003, 7844.13735261, 3.95, 4356.9049501
9322.11756615, 7805.14809882, 3.94, 4347.02174238
9278.69676878, 7766.25397292, 3.93, 4337.13759331
9235.37481762, 7727.45497816, 3.92, 4327.25249892
9192.15172216, 7688.75111778, 3.91, 4317.36645523
9149.0274919, 7650.14239507, 3.9, 4307.4794582
9106.00213639, 7611.62881328, 3.89, 4297.59150377
9063.07566522, 7573.21037574, 3.88, 4287.70258788
9020.24808805, 7534.88708574, 3.87, 4277.81270641
8977.51941453, 7496.65894661, 3.86, 4267.92185522
8934.88965439, 7458.52596169, 3.85, 4258.03003015
8892.35881739, 7420.48813433, 3.84, 4248.13722701
8849.92691333, 7382.54546791, 3.83, 4238.24344158
8807.59395206, 7344.6979658, 3.82, 4228.3486696
8765.35994345, 7306.9456314, 3.81, 4218.45290678
8723.22489744, 7269.28846813, 3.8, 4208.55614884
8681.18882401, 7231.72647942, 3.79, 4198.65839141
8639.25173317, 7194.2596687, 3.78, 4188.75963013
8597.41363498, 7156.88803944, 3.77, 4178.85986059
8555.67453955, 7119.61159511, 3.76, 4168.95907837
8514.03445702, 7082.4303392, 3.75, 4159.05727899
8472.49339759, 7045.34427521, 3.74, 4149.15445797
8431.0513715, 7008.35340666, 3.73, 4139.25061077
8389.70838903, 6971.4577371, 3.72, 4129.34573283
8348.46446051, 6934.65727007, 3.71, 4119.43981956
8307.31959632, 6897.95200913, 3.7, 4109.53286634
8266.27380689, 6861.34195789, 3.69, 4099.6248685
8225.32710268, 6824.82711993, 3.68, 4089.71582136
8184.47949421, 6788.40749887, 3.67, 4079.80572018
8143.73099203, 6752.08309835, 3.66, 4069.89456021
8103.08160677, 6715.85392201, 3.65, 4059.98233665
8062.53134909, 6679.71997353, 3.64, 4050.06904467
8022.08022969, 6643.68125658, 3.63, 4040.15467941
7981.72825933, 6607.73777487, 3.62, 4030.23923597
7941.47544881, 6571.88953211, 3.61, 4020.3227094
7901.321809, 6536.13653205, 3.6, 4010.40509474
7861.2673508, 6500.47877843, 3.59, 4000.48638697
7821.31208516, 6464.91627502, 3.58, 3990.56658106
7781.4560231, 6429.44902561, 3.57, 3980.64567191
7741.69917566, 6394.077034, 3.56, 3970.7236544
7702.04155396, 6358.80030402, 3.55, 3960.80052338
7662.48316917, 6323.61883951, 3.54, 3950.87627364
7623.02403248, 6288.53264433, 3.53, 3940.95089995
7583.66415518, 6253.54172235, 3.52, 3931.02439703
7544.40354857, 6218.64607748, 3.51, 3921.09675956
7505.24222404, 6183.84571363, 3.5, 3911.16798219
7466.180193, 6149.14063472, 3.49, 3901.23805952
7427.21746694, 6114.53084472, 3.48, 3891.30698611
7388.35405739, 6080.01634759, 3.47, 3881.37475648
7349.58997594, 6045.59714732, 3.46, 3871.4413651
7310.92523424, 6011.27324793, 3.45, 3861.50680643
7272.35984399, 5977.04465344, 3.44, 3851.57107483
7233.89381693, 5942.9113679, 3.43, 3841.63416468
7195.5271649, 5908.87339539, 3.42, 3831.69607026
7157.25989976, 5874.93073998, 3.41, 3821.75678585
7119.09203344, 5841.08340578, 3.4, 3811.81630565
7081.02357792, 5807.33139694, 3.39, 3801.87462385
7043.05454526, 5773.67471758, 3.38, 3791.93173457
7005.18494755, 5740.1133719, 3.37, 3781.98763188
6967.41479696, 5706.64736406, 3.36, 3772.04230983
6929.74410572, 5673.27669829, 3.35, 3762.09576239
6892.1728861, 5640.00137883, 3.34, 3752.14798351
6854.70115045, 5606.82140991, 3.33, 3742.19896707
6817.32891119, 5573.73679582, 3.32, 3732.24870693
6780.05618077, 5540.74754085, 3.31, 3722.29719686
6742.88297172, 5507.85364932, 3.3, 3712.34443062
6705.80929665, 5475.05512558, 3.29, 3702.39040189
6668.83516821, 5442.35197397, 3.28, 3692.43510432
6631.96059911, 5409.7441989, 3.27, 3682.4785315
6595.18560214, 5377.23180476, 3.26, 3672.52067696
6558.51019016, 5344.81479598, 3.25, 3662.5615342
6521.93437608, 5312.49317702, 3.24, 3652.60109663
6485.45817286, 5280.26695235, 3.23, 3642.63935765
6449.08159359, 5248.13612647, 3.22, 3632.67631058
6412.80465135, 5216.10070391, 3.21, 3622.71194868
6376.62735933, 5184.16068919, 3.2, 3612.74626516
6340.54973079, 5152.31608691, 3.19, 3602.7792532
6304.57177903, 5120.56690165, 3.18, 3592.81090587
6268.69351745, 5088.91313802, 3.17, 3582.84121624
6232.91495952, 5057.35480067, 3.16, 3572.87017728
6197.23611875, 5025.89189427, 3.15, 3562.89778191
6161.65700874, 4994.5244235, 3.14, 3552.92402301
6126.17764318, 4963.25239309, 3.13, 3542.94889338
6090.7980358, 4932.07580776, 3.12, 3532.97238576
6055.51820041, 4900.9946723, 3.11, 3522.99449283
6020.33815092, 4870.0089915, 3.1, 3513.01520723
5985.25790127, 4839.11877016, 3.09, 3503.0345215
5950.27746551, 4808.32401314, 3.08, 3493.05242813
5915.39685777, 4777.6247253, 3.07, 3483.06891957
5880.61609221, 4747.02091155, 3.06, 3473.08398816
5845.93518311, 4716.51257681, 3.05, 3463.0976262
5811.35414483, 4686.09972603, 3.04, 3453.10982594
5776.87299177, 4655.78236418, 3.03, 3443.12057952
5742.49173843, 4625.56049628, 3.02, 3433.12987904
5708.21039941, 4595.43412735, 3.01, 3423.13771653
5674.02898936, 4565.40326246, 3.0, 3413.14408394
5639.94752302, 4535.46790671, 2.99, 3403.14897315
5605.96601521, 4505.6280652, 2.98, 3393.15237598
5572.08448085, 4475.88374308, 2.97, 3383.15428415
5538.30293491, 4446.23494553, 2.96, 3373.15468934
5504.62139247, 4416.68167776, 2.95, 3363.15358313
5471.03986869, 4387.223945, 2.94, 3353.15095704
5437.5583788, 4357.86175252, 2.93, 3343.1468025
5404.17693814, 4328.5951056, 2.92, 3333.14111087
5370.89556212, 4299.42400959, 2.91, 3323.13387344
5337.71426624, 4270.34846982, 2.9, 3313.1250814
5304.6330661, 4241.36849169, 2.89, 3303.11472588
5271.65197736, 4212.48408062, 2.88, 3293.10279791
5238.7710158, 4183.69524206, 2.87, 3283.08928845
5205.99019729, 4155.00198148, 2.86, 3273.07418838
5173.30953777, 4126.4043044, 2.85, 3263.05748848
5140.72905329, 4097.90221637, 2.84, 3253.03917946
5108.24875999, 4069.49572296, 2.83, 3243.01925193
5075.86867409, 4041.18482979, 2.82, 3232.99769641
5043.58881193, 4012.9695425, 2.81, 3222.97450336
5011.40918993, 3984.84986677, 2.8, 3212.94966311
4979.32982461, 3956.82580831, 2.79, 3202.92316592
4947.35073259, 3928.89737287, 2.78, 3192.89500197
4915.47193059, 3901.06456623, 2.77, 3182.86516131
4883.69343542, 3873.3273942, 2.76, 3172.83363392
4852.015264, 3845.68586265, 2.75, 3162.80040969
4820.43743336, 3818.13997744, 2.74, 3152.76547839
4788.9599606, 3790.68974451, 2.73, 3142.72882971
