# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
7771.39894551, 6015.18745988, 4.5, 3063.68586786
7740.79087665, 5989.30491726, 4.49, 3057.92779374
7710.24039231, 5963.47655535, 4.48, 3052.16896153
7679.74750009, 5937.70237676, 4.47, 3046.40936842
7649.31220763, 5911.98238411, 4.46, 3040.6490116
7618.93452256, 5886.31658001, 4.45, 3034.88788822
7588.61445258, 5860.7049671, 4.44, 3029.12599542
7558.35200537, 5835.14754801, 4.43, 3023.36333033
7528.1471887, 5809.64432541, 4.42, 3017.59989007
7498.00001031, 5784.19530196, 4.41, 3011.83567172
7467.91047801, 5758.80048032, 4.4, 3006.07067235
7437.87859963, 5733.45986318, 4.39, 3000.30488902
7407.904383, 5708.17345324, 4.38, 2994.53831878
7377.98783603, 5682.94125319, 4.37, 2988.77095863
7348.12896663, 5657.76326575, 4.36, 2983.00280559
7318.32778273, 5632.63949365, 4.35, 2977.23385664
7288.58429232, 5607.56993961, 4.34, 2971.46410874
7258.89850339, 5582.55460639, 4.33, 2965.69355884
7229.27042398, 5557.59349674, 4.32, 2959.92220387
7199.70006216, 5532.68661342, 4.31, 2954.15004074
7170.18742602, 5507.83395922, 4.3, 2948.37706633
7140.7325237, 5483.03553692, 4.29, 2942.60327753
7111.33536335, 5458.29134931, 4.28, 2936.82867118
7081.99595317, 5433.60139922, 4.27, 2931.05324412
7052.71430138, 5408.96568946, 4.26, 2925.27699315
7023.49041623, 5384.38422285, 4.25, 2919.49991508
6994.32430601, 5359.85700225, 4.24, 2913.72200667
6965.21597904, 5335.38403051, 4.23, 2907.94326467
6936.16544367, 5310.9653105, 4.22, 2902.16368582
6907.17270829, 5286.60084508, 4.21, 2896.38326683
6878.2377813, 5262.29063715, 4.2, 2890.6020044
6849.36067119, 5238.03468962, 4.19, 2884.81989518
6820.5413864, 5213.83300538, 4.18, 2879.03693583
6791.77993548, 5189.68558737, 4.17, 2873.25312299
6763.07632697, 5165.59243851, 4.16, 2867.46845324
6734.43056946, 5141.55356176, 4.15, 2861.68292319
6705.84267156, 5117.56896007, 4.14, 2855.89652938
6677.31264193, 5093.63863642, 4.13, 2850.10926837
6648.84048926, 5069.76259378, 4.12, 2844.32113666
6620.42622229, 5045.94083516, 4.11, 2838.53213077
6592.06984975, 5022.17336354, 4.1, 2832.74224715
6563.77138046, 4998.46018197, 4.09, 2826.95148225
6535.53082323, 4974.80129346, 4.08, 2821.15983252
6507.34818695, 4951.19670106, 4.07, 2815.36729435
6479.2234805, 4927.64640783, 4.06, 2809.57386412
6451.15671283, 4904.15041684, 4.05, 2803.77953819
6423.14789292, 4880.70873116, 4.04, 2797.98431289
6395.19702976, 4857.3213539, 4.03, 2792.18818453
6367.30413242, 4833.98828815, 4.02, 2786.3911494
6339.46920999, 4810.70953705, 4.01, 2780.59320375
6311.69227158, 4787.48510372, 4.0, 2774.79434383
6283.97332637, 4764.3149913, 3.99, 2768.99456583
6256.31238352, 4741.19920297, 3.98, 2763.19386595
6228.70945232, 4718.13774188, 3.97, 2757.39224035
6201.16454201, 4695.13061123, 3.96, 2751.58968516
6173.67766192, 4672.17781423, 3.95, 2745.78619649
6146.2488214, 4649.27935406, 3.94, 2739.98177042
6118.87802984, 4626.43523398, 3.93, 2734.17640301
6091.56529668, 4603.64545721, 3.92, 2728.37009028
6064.31063139, 4580.91002701, 3.91, 2722.56282824
6037.11404349, 4558.22894666, 3.9, 2716.75461286
6009.97554252, 4535.60221942, 3.89, 2710.94544009
5982.89513809, 4513.0298486, 3.88, 2705.13530585
5955.87283983, 4490.51183752, 3.87, 2699.32420603
5928.9086574, 4468.04818948, 3.86, 2693.5121365
5902.00260055, 4445.63890784, 3.85, 2687.69909309
5875.15467901, 4423.28399595, 3.84, 2681.8850716
5848.36490259, 4400.98345717, 3.83, 2676.07006782
5821.63328115, 4378.73729489, 3.82, 2670.2540775
5794.95982455, 4356.54551251, 3.81, 2664.43709634
5768.34454274, 4334.40811343, 3.8, 2658.61912005
5741.78744569, 4312.3251011, 3.79, 2652.80014427
5715.28854341, 4290.29647894, 3.78, 2646.98016464
5688.84784597, 4268.32225043, 3.77, 2641.15917676
5662.46536347, 4246.40241903, 3.76, 2635.3371762
5636.14110605, 4224.53698823, 3.75, 2629.51415847
5609.87508392, 4202.72596154, 3.74, 2623.6901191
5583.66730732, 4180.96934247, 3.73, 2617.86505356
5557.51778651, 4159.26713457, 3.72, 2612.03895728
5531.42653184, 4137.61934139, 3.71, 2606.21182567
5505.39355368, 4116.02596648, 3.7, 2600.3836541
5479.41886246, 4094.48701345, 3.69, 2594.55443792
5453.50246865, 4073.00248589, 3.68, 2588.72417243
5427.64438275, 4051.57238741, 3.67, 2582.8928529
5401.84461533, 4030.19672165, 3.66, 2577.06047459
5376.10317703, 4008.87549227, 3.65, 2571.22703268
5350.42007848, 3987.60870291, 3.64, 2565.39252236
5324.79533039, 3966.39635728, 3.63, 2559.55693875
5299.22894353, 3945.23845907, 3.62, 2553.72027696
5273.7209287, 3924.135012, 3.61, 2547.88253205
