# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
7801.39894551, 5985.18745988, 4.5, 3063.68586786
7770.79087665, 5959.30491726, 4.49, 3057.92779374
7740.24039231, 5933.47655535, 4.48, 3052.16896153
7709.74750009, 5907.70237676, 4.47, 3046.40936842
7679.31220763, 5881.98238411, 4.46, 3040.6490116
7648.93452256, 5856.31658001, 4.45, 3034.88788822
7618.61445258, 5830.7049671, 4.44, 3029.12599542
7588.35200537, 5805.14754801, 4.43, 3023.36333033
7558.1471887, 5779.64432541, 4.42, 3017.59989007
7528.00001031, 5754.19530196, 4.41, 3011.83567172
7497.91047801, 5728.80048032, 4.4, 3006.07067235
7467.87859963, 5703.45986318, 4.39, 3000.30488902
7437.904383, 5678.17345324, 4.38, 2994.53831878
7407.98783603, 5652.94125319, 4.37, 2988.77095863
7378.12896663, 5627.76326575, 4.36, 2983.00280559
7348.32778273, 5602.63949365, 4.35, 2977.23385664
7318.58429232, 5577.56993961, 4.34, 2971.46410874
7288.89850339, 5552.55460639, 4.33, 2965.69355884
7259.27042398, 5527.59349674, 4.32, 2959.92220387
7229.70006216, 5502.68661342, 4.31, 2954.15004074
7200.18742602, 5477.83395922, 4.3, 2948.37706633
7170.7325237, 5453.03553692, 4.29, 2942.60327753
7141.33536335, 5428.29134931, 4.28, 2936.82867118
7111.99595317, 5403.60139922, 4.27, 2931.05324412
7082.71430138, 5378.96568946, 4.26, 2925.27699315
7053.49041623, 5354.38422285, 4.25, 2919.49991508
7024.32430601, 5329.85700225, 4.24, 2913.72200667
6995.21597904, 5305.38403051, 4.23, 2907.94326467
6966.16544367, 5280.9653105, 4.22, 2902.16368582
6937.17270829, 5256.60084508, 4.21, 2896.38326683
6908.2377813, 5232.29063715, 4.2, 2890.6020044
6879.36067119, 5208.03468962, 4.19, 2884.81989518
6850.5413864, 5183.83300538, 4.18, 2879.03693583
6821.77993548, 5159.68558737, 4.17, 2873.25312299
6793.07632697, 5135.59243851, 4.16, 2867.46845324
6764.43056946, 5111.55356176, 4.15, 2861.68292319
6735.84267156, 5087.56896007, 4.14, 2855.89652938
6707.31264193, 5063.63863642, 4.13, 2850.10926837
6678.84048926, 5039.76259378, 4.12, 2844.32113666
6650.42622229, 5015.94083516, 4.11, 2838.53213077
6622.06984975, 4992.17336354, 4.1, 2832.74224715
6593.77138046, 4968.46018197, 4.09, 2826.95148225
6565.53082323, 4944.80129346, 4.08, 2821.15983252
6537.34818695, 4921.19670106, 4.07, 2815.36729435
6509.2234805, 4897.64640783, 4.06, 2809.57386412
6481.15671283, 4874.15041684, 4.05, 2803.77953819
6453.14789292, 4850.70873116, 4.04, 2797.98431289
6425.19702976, 4827.3213539, 4.03, 2792.18818453
6397.30413242, 4803.98828815, 4.02, 2786.3911494
6369.46920999, 4780.70953705, 4.01, 2780.59320375
6341.69227158, 4757.48510372, 4.0, 2774.79434383
6313.97332637, 4734.3149913, 3.99, 2768.99456583
6286.31238352, 4711.19920297, 3.98, 2763.19386595
6258.70945232, 4688.13774188, 3.97, 2757.39224035
6231.16454201, 4665.13061123, 3.96, 2751.58968516
6203.67766192, 4642.17781423, 3.95, 2745.78619649
6176.2488214, 4619.27935406, 3.94, 2739.98177042
6148.87802984, 4596.43523398, 3.93, 2734.17640301
6121.56529668, 4573.64545721, 3.92, 2728.37009028
6094.31063139, 4550.91002701, 3.91, 2722.56282824
6067.11404349, 4528.22894666, 3.9, 2716.75461286
6039.97554252, 4505.60221942, 3.89, 2710.94544009
6012.89513809, 4483.0298486, 3.88, 2705.13530585
5985.87283983, 4460.51183752, 3.87, 2699.32420603
5958.9086574, 4438.04818948, 3.86, 2693.5121365
5932.00260055, 4415.63890784, 3.85, 2687.69909309
5905.15467901, 4393.28399595, 3.84, 2681.8850716
5878.36490259, 4370.98345717, 3.83, 2676.07006782
5851.63328115, 4348.73729489, 3.82, 2670.2540775
5824.95982455, 4326.54551251, 3.81, 2664.43709634
5798.34454274, 4304.40811343, 3.8, 2658.61912005
5771.78744569, 4282.3251011, 3.79, 2652.80014427
5745.28854341, 4260.29647894, 3.78, 2646.98016464
5718.84784597, 4238.32225043, 3.77, 2641.15917676
5692.46536347, 4216.40241903, 3.76, 2635.3371762
5666.14110605, 4194.53698823, 3.75, 2629.51415847
5639.87508392, 4172.72596154, 3.74, 2623.6901191
5613.66730732, 4150.96934247, 3.73, 2617.86505356
5587.51778651, 4129.26713457, 3.72, 2612.03895728
5561.42653184, 4107.61934139, 3.71, 2606.21182567
5535.39355368, 4086.02596648, 3.7, 2600.3836541
5509.41886246, 4064.48701345, 3.69, 2594.55443792
5483.50246865, 4043.00248589, 3.68, 2588.72417243
5457.64438275, 4021.57238741, 3.67, 2582.8928529
5431.84461533, 4000.19672165, 3.66, 2577.06047459
5406.10317703, 3978.87549227, 3.65, 2571.22703268
5380.42007848, 3957.60870291, 3.64, 2565.39252236
5354.79533039, 3936.39635728, 3.63, 2559.55693875
5329.22894353, 3915.23845907, 3.62, 2553.72027696
5303.7209287, 3894.135012, 3.61, 2547.88253205
5278.27129675, 3873.0860198, 3.6, 2542.04369904
5252.88005859, 3852.09148622, 3.59, 2536.20377293
5227.54722519, 3831.15141504, 3.58, 2530.36274867
5202.27280754, 3810.26581005, 3.57, 2524.52062117
