# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
4851.56578451, 3035.35429888, 4.5, 1752.64890742
4834.05351818, 3022.56755879, 4.49, 1749.80424877
4816.56970221, 3009.80586525, 4.48, 1746.95883202
4799.11434421, 2997.06922088, 4.47, 1744.11265438
4781.68745181, 2984.35762829, 4.46, 1741.26571303
4764.28903265, 2971.6710901, 4.45, 1738.41800511
4746.91909442, 2959.00960894, 4.44, 1735.56952778
4729.57764482, 2946.37318746, 4.43, 1732.72027817
4712.26469159, 2933.7618283, 4.42, 1729.87025337
4694.98024249, 2921.17553414, 4.41, 1727.01945048
4677.72430533, 2908.61430763, 4.4, 1724.16786658
4660.49688792, 2896.07815148, 4.39, 1721.31549872
4643.29799812, 2883.56706835, 4.38, 1718.46234394
4626.12764383, 2871.08106098, 4.37, 1715.60839927
4608.98583293, 2858.62013206, 4.36, 1712.75366169
4591.87257339, 2846.18428432, 4.35, 1709.89812821
4574.78787319, 2833.77352049, 4.34, 1707.04179578
4557.73174031, 2821.38784332, 4.33, 1704.18466135
4540.70418281, 2809.02725557, 4.32, 1701.32672185
4523.70520873, 2796.69175999, 4.31, 1698.46797418
4506.73482618, 2784.38135938, 4.3, 1695.60841524
4489.79304329, 2772.09605651, 4.29, 1692.74804191
4472.87986822, 2759.83585418, 4.28, 1689.88685103
4455.99530916, 2747.60075521, 4.27, 1687.02483943
4439.13937435, 2735.39076242, 4.26, 1684.16200394
4422.31207201, 2723.20587863, 4.25, 1681.29834133
4405.51341045, 2711.04610669, 4.24, 1678.43384838
4388.74339798, 2698.91144946, 4.23, 1675.56852185
4372.00204296, 2686.80190979, 4.22, 1672.70235847
4355.28935378, 2674.71749057, 4.21, 1669.83535495
4338.60533884, 2662.65819469, 4.2, 1666.96750798
4321.9500066, 2650.62402504, 4.19, 1664.09881423
4305.32336556, 2638.61498453, 4.18, 1661.22927036
4288.72542421, 2626.6310761, 4.17, 1658.35887298
4272.15619113, 2614.67230267, 4.16, 1655.4876187
4255.61567488, 2602.73866718, 4.15, 1652.61550411
4239.10388408, 2590.83017261, 4.14, 1649.74252577
4222.62082742, 2578.94682191, 4.13, 1646.86868023
4206.16651356, 2567.08861808, 4.12, 1643.99396399
4189.74095124, 2555.2555641, 4.11, 1641.11837356
4173.34414919, 2543.44766298, 4.1, 1638.24190541
4156.97611624, 2531.66491775, 4.09, 1635.36455599
4140.6368612, 2519.90733142, 4.08, 1632.48632172
4124.32639294, 2508.17490706, 4.07, 1629.60719902
4108.04472037, 2496.4676477, 4.06, 1626.72718425
4091.79185242, 2484.78555643, 4.05, 1623.84627379
4075.56779806, 2473.12863632, 4.04, 1620.96446396
4059.37256633, 2461.49689047, 4.03, 1618.08175107
