# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
11931.1653709, 10114.9538853, 4.5, 4899.13761248
11882.2231785, 10070.7372191, 4.49, 4889.30075671
11833.3793584, 10026.6155215, 4.48, 4879.46314284
11784.6339183, 9982.588795, 4.47, 4869.62476808
11735.9868658, 9938.65704225, 4.46, 4859.7856296
11687.4382084, 9894.82026588, 4.45, 4849.94572456
11638.987954, 9851.07846852, 4.44, 4840.10505012
11590.6361101, 9807.43165279, 4.43, 4830.26360337
11542.3826847, 9763.87982137, 4.42, 4820.42138145
11494.2276853, 9720.42297691, 4.41, 4810.57838144
11446.1711198, 9677.06112208, 4.4, 4800.73460042
11398.212996, 9633.79425957, 4.39, 4790.89003544
11350.3533218, 9590.62239207, 4.38, 4781.04468354
11302.5921051, 9547.54552228, 4.37, 4771.19854174
11254.9293538, 9504.56365292, 4.36, 4761.35160705
11207.3650758, 9461.67678671, 4.35, 4751.50387644
11159.8992791, 9418.88492639, 4.34, 4741.65534688
11112.5319717, 9376.18807469, 4.33, 4731.80601533
11065.2631616, 9333.58623439, 4.32, 4721.95587871
11018.092857, 9291.07940823, 4.31, 4712.10493392
10971.0210658, 9248.667599, 4.3, 4702.25317786
10924.0477963, 9206.35080949, 4.29, 4692.40060741
10877.1730565, 9164.1290425, 4.28, 4682.5472194
10830.3968548, 9122.00230083, 4.27, 4672.69301068
10783.7191992, 9079.97058731, 4.26, 4662.83797806
10737.1400981, 9038.03390476, 4.25, 4652.98211833
10690.6595598, 8996.19225604, 4.24, 4643.12542826
10644.2775925, 8954.44564399, 4.23, 4633.26790461
10597.9942047, 8912.79407148, 4.22, 4623.40954411
10551.8094046, 8871.2375414, 4.21, 4613.55034347
10505.7232008, 8829.77605661, 4.2, 4603.69029937
10459.7356016, 8788.40962003, 4.19, 4593.8294085
10413.8466156, 8747.13823457, 4.18, 4583.9676675
10368.0562513, 8705.96190315, 4.17, 4574.105073
10322.3645172, 8664.8806287, 4.16, 4564.2416216
10276.7714219, 8623.89441418, 4.15, 4554.37730989
10231.276974, 8583.00326253, 4.14, 4544.51213443
10185.8811822, 8542.20717673, 4.13, 4534.64609176
10140.5840553, 8501.50615977, 4.12, 4524.7791784
10095.3856018, 8460.90021463, 4.11, 4514.91139085
10050.2858305, 8420.38934433, 4.1, 4505.04272558
10005.2847504, 8379.97355188, 4.09, 4495.17317903
9960.38237008, 8339.65284031, 4.08, 4485.30274765
9915.57869856, 8299.42721267, 4.07, 4475.43142782
