# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
3081.66588792, 1265.45440228, 4.5, 966.026731156
3072.0111031, 1260.52514371, 4.49, 964.930121782
3062.36728816, 1255.6034512, 4.48, 963.83275432
3052.73445068, 1250.68932735, 4.47, 962.734625959
3043.11259832, 1245.7827748, 4.46, 961.635733884
3033.5017387, 1240.88379615, 4.45, 960.536075249
3023.90187953, 1235.99239405, 4.44, 959.435647202
3014.31302848, 1231.10857112, 4.43, 958.334446864
3004.73519332, 1226.23233004, 4.42, 957.232471347
2995.1683818, 1221.36367344, 4.41, 956.129717741
2985.61260171, 1216.50260402, 4.4, 955.026183122
2976.0678609, 1211.64912445, 4.39, 953.921864545
2966.53416719, 1206.80323743, 4.38, 952.816759045
2957.0115285, 1201.96494565, 4.37, 951.710863652
2947.49995272, 1197.13425184, 4.36, 950.604175357
2937.99944779, 1192.31115872, 4.35, 949.496691152
2928.51002172, 1187.49566901, 4.34, 948.388408003
2919.03168247, 1182.68778548, 4.33, 947.279322852
2909.5644381, 1177.88751086, 4.32, 946.16943263
2900.10829667, 1173.09484793, 4.31, 945.058734246
2890.66326627, 1168.30979947, 4.3, 943.947224591
2881.22935504, 1163.53236826, 4.29, 942.834900536
2871.80657114, 1158.7625571, 4.28, 941.721758935
2862.39492276, 1154.00036881, 4.27, 940.607796619
2852.99441812, 1149.24580619, 4.26, 939.493010403
2843.60506547, 1144.49887209, 4.25, 938.377397074
2834.22687311, 1139.75956935, 4.24, 937.26095341
2824.85984935, 1135.02790082, 4.23, 936.143676163
2815.50400254, 1130.30386937, 4.22, 935.025562062
2806.15934107, 1125.58747787, 4.21, 933.906607823
2796.82587336, 1120.87872921, 4.2, 932.786810134
2787.50360785, 1116.17762629, 4.19, 931.666165666
2778.19255305, 1111.48417202, 4.18, 930.544671069
2768.89271745, 1106.79836933, 4.17, 929.42232297
2759.60410962, 1102.12022116, 4.16, 928.299117974
2750.32673813, 1097.44973043, 4.15, 927.175052665
2741.0606116, 1092.78690013, 4.14, 926.050123606
2731.80573871, 1088.13173321, 4.13, 924.924327341
2722.56212813, 1083.48423265, 4.12, 923.797660385
2713.3297886, 1078.84440147, 4.11, 922.670119238
2704.10872886, 1074.21224265, 4.1, 921.541700367
2694.8989577, 1069.58775921, 4.09, 920.412400225
2685.70048397, 1064.9709542, 4.08, 919.282215239
2676.51331654, 1060.36183065, 4.07, 918.151141817
2667.33746429, 1055.76039163, 4.06, 917.019176335
2658.17293617, 1051.16664019, 4.05, 915.88631515
2649.01974116, 1046.58057942, 4.04, 914.752554598
2639.87788827, 1042.00221241, 4.03, 913.617890988
2630.74738655, 1037.43154228, 4.02, 912.482320605
2621.62824508, 1032.86857214, 4.01, 911.345839705
2612.52047299, 1028.31330512, 4.0, 910.208444528
2603.42407944, 1023.76574438, 3.99, 909.070131283
2594.33907362, 1019.22589306, 3.98, 907.930896153
2585.26546479, 1014.69375435, 3.97, 906.790735301
2576.20326221, 1010.16933143, 3.96, 905.649644858
2567.1524752, 1005.6526275, 3.95, 904.507620937
2558.11311311, 1001.14364577, 3.94, 903.364659614
2549.08518533, 996.642389471, 3.93, 902.220756947
2540.06870131, 992.148861839, 3.92, 901.075908966
2531.06367051, 987.663066131, 3.91, 899.930111672
2522.07010245, 983.185005618, 3.9, 898.783361044
2513.08800668, 978.714683577, 3.89, 897.635653023
2504.11739279, 974.252103306, 3.88, 896.48698353
2495.15827043, 969.797268118, 3.87, 895.337348462
