# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
17220.8650607, 15444.6535751, 4.5, 7259.00414128
17148.3504238, 15376.8644644, 4.49, 7243.92313767
17075.9866006, 15309.2227637, 4.48, 7228.84137596
17003.7735989, 15241.7284756, 4.47, 7213.75885335
16931.7114262, 15174.3816027, 4.46, 7198.67556703
16859.8000903, 15107.1821477, 4.45, 7183.59151415
16788.0395987, 15040.1301132, 4.44, 7168.50669186
16716.4299592, 14973.2255018, 4.43, 7153.42109728
16644.9711795, 14906.4683162, 4.42, 7138.33472752
16573.6632673, 14839.858559, 4.41, 7123.24757967
16502.5062306, 14773.3962329, 4.4, 7108.1596508
16431.5000771, 14707.0813406, 4.39, 7093.07093798
16360.6448146, 14640.9138849, 4.38, 7077.98143824
16289.9404511, 14574.8938683, 4.37, 7062.8911486
16219.3869944, 14509.0212936, 4.36, 7047.80006606
16148.9844526, 14443.2961635, 4.35, 7032.70818761
16078.7328335, 14377.7184808, 4.34, 7017.61551021
16008.6321452, 14312.2882482, 4.33, 7002.52203082
15938.6823957, 14247.0054685, 4.32, 6987.42774635
15868.8835931, 14181.8701444, 4.31, 6972.33265372
15799.2357455, 14116.8822787, 4.3, 6957.23674982
15729.738861, 14052.0418742, 4.29, 6942.14003152
15660.3929478, 13987.3489337, 4.28, 6927.04249568
15591.198014, 13922.80346, 4.27, 6911.94413912
15522.1540679, 13858.405456, 4.26, 6896.84495866
15453.2611177, 13794.1549244, 4.25, 6881.74495108
15384.5191718, 13730.0518681, 4.24, 6866.64411317
15315.9282384, 13666.0962899, 4.23, 6851.54244168
15247.4883259, 13602.2881928, 4.22, 6836.43993334
15179.1994427, 13538.6275795, 4.21, 6821.33658485
15111.0615972, 13475.1144531, 4.2, 6806.23239292
15043.0747978, 13411.7488163, 4.19, 6791.12735421
14975.2390531, 13348.5306721, 4.18, 6776.02146537
14907.5543716, 13285.4600234, 4.17, 6760.91472302
14840.0207617, 13222.5368732, 4.16, 6745.80712378
14772.6382321, 13159.7612244, 4.15, 6730.69866423
14705.4067915, 13097.13308, 4.14, 6715.58934092
14638.3264484, 13034.6524429, 4.13, 6700.47915041
14571.3972115, 12972.319316, 4.12, 6685.36808921
14504.6190897, 12910.1337025, 4.11, 6670.25615382
14437.9920916, 12848.0956053, 4.1, 6655.14334071
14371.516226, 12786.2050275, 4.09, 6640.02964632
14305.1915017, 12724.461972, 4.08, 6624.91506709
14239.0179278, 12662.8664419, 4.07, 6609.79959942
14172.9955129, 12601.4184402, 4.06, 6594.68323969
14107.1242661, 12540.1179701, 4.05, 6579.56598427
14041.4041964, 12478.9650347, 4.04, 6564.44782947
13975.8353127, 12417.9596369, 4.03, 6549.32877161
13910.4176242, 12357.1017799, 4.02, 6534.20880699
13845.1511398, 12296.3914669, 4.01, 6519.08793184
13780.0358688, 12235.8287009, 4.0, 6503.96614242
13715.0718202, 12175.4134852, 3.99, 6488.84343493
13650.2590033, 12115.1458228, 3.98, 6473.71980555
13585.5974274, 12055.0257169, 3.97, 6458.59525046
13521.0871016, 11995.0531708, 3.96, 6443.46976577
13456.7280354, 11935.2281877, 3.95, 6428.3433476
13392.520238, 11875.5507706, 3.94, 6413.21599204
13328.4637189, 11816.020923, 3.93, 6398.08769513
13264.5584874, 11756.6386479, 3.92, 6382.9584529
13200.8045531, 11697.4039488, 3.91, 6367.82826136
13137.2019256, 11638.3168287, 3.9, 6352.69711649
13073.7506142, 11579.3772911, 3.89, 6337.56501422
13010.4506287, 11520.5853392, 3.88, 6322.43195048
12947.3019786, 11461.9409763, 3.87, 6307.29792117
12884.3046737, 11403.4442058, 3.86, 6292.16292214
12821.4587236, 11345.0950309, 3.85, 6277.02694923
12758.7641382, 11286.8934551, 3.84, 6261.88999825
12696.2209271, 11228.8394817, 3.83, 6246.75206498
12633.8291004, 11170.9331141, 3.82, 6231.61314515
12571.5886677, 11113.1743557, 3.81, 6216.4732345
12509.4996392, 11055.5632099, 3.8, 6201.33232871
12447.5620247, 10998.0996801, 3.79, 6186.19042344
12385.7758343, 10940.7837698, 3.78, 6171.04751432
12324.141078, 10883.6154825, 3.77, 6155.90359694
12262.6577659, 10826.5948215, 3.76, 6140.75866687
12201.3259083, 10769.7217904, 3.75, 6125.61271966
12140.1455152, 10712.9963928, 3.74, 6110.46575079
12079.1165969, 10656.4186321, 3.73, 6095.31775575
12018.2391637, 10599.9885118, 3.72, 6080.16872997
11957.513226, 10543.7060355, 3.71, 6065.01866886
11896.938794, 10487.5712068, 3.7, 6049.8675678
11836.5158783, 10431.5840293, 3.69, 6034.71542212
11776.2444893, 10375.7445066, 3.68, 6019.56222713
11716.1246375, 10320.0526422, 3.67, 6004.40797811
11656.1563335, 10264.5084398, 3.66, 5989.2526703
11596.3395879, 10209.1119031, 3.65, 5974.0962989
11536.6744113, 10153.8630357, 3.64, 5958.93885908
11477.1608145, 10098.7618414, 3.63, 5943.78034598
11417.7988082, 10043.8083238, 3.62, 5928.62075469
11358.5884033, 9989.00248655, 3.61, 5913.46008028
11299.5296105, 9934.34433352, 3.6, 5898.29831778
11240.6224408, 9879.8338684, 3.59, 5883.13546217
11181.8669051, 9825.47109498, 3.58, 5867.97150841
11123.2630145, 9771.25601704, 3.57, 5852.80645142
11064.81078, 9717.18863837, 3.56, 5837.64028607
11006.5102128, 9663.26896282, 3.55, 5822.47300721
10948.3613239, 9609.49699421, 3.54, 5807.30460962
10890.3641246, 9555.87273641, 3.53, 5792.13508809
10832.5186261, 9502.39619329, 3.52, 5776.96443733
10774.8248398, 9449.06736875, 3.51, 5761.79265202
10717.2827771, 9395.88626671, 3.5, 5746.61972681
10659.8924494, 9342.8528911, 3.49, 5731.4456563
10602.6538681, 9289.96724587, 3.48, 5716.27043504
10545.5670448, 9237.22933499, 3.47, 5701.09405757
10488.6319911, 9184.63916245, 3.46, 5685.91651836
10431.8487186, 9132.19673227, 3.45, 5670.73781184
10375.217239, 9079.90204846, 3.44, 5655.5579324
10318.7375641, 9027.75511509, 3.43, 5640.3768744
10262.4097057, 8975.75593621, 3.42, 5625.19463215
10206.2336757, 8923.90451592, 3.41, 5610.01119989
10150.209486, 8872.20085833, 3.4, 5594.82657186
10094.3371485, 8820.64496756, 3.39, 5579.64074221
10038.6166754, 8769.23684776, 3.38, 5564.45370509
9983.04807876, 8717.97650311, 3.37, 5549.26545456
9927.63137068, 8666.86393779, 3.36, 5534.07598466
9872.36656343, 8615.89915601, 3.35, 5518.88528939
