# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
17240.8650607, 15424.6535751, 4.5, 7259.00414128
17168.3504238, 15356.8644644, 4.49, 7243.92313767
17095.9866006, 15289.2227637, 4.48, 7228.84137596
17023.7735989, 15221.7284756, 4.47, 7213.75885335
16951.7114262, 15154.3816027, 4.46, 7198.67556703
16879.8000903, 15087.1821477, 4.45, 7183.59151415
16808.0395987, 15020.1301132, 4.44, 7168.50669186
16736.4299591, 14953.2255018, 4.43, 7153.42109728
16664.9711795, 14886.4683162, 4.42, 7138.33472752
16593.6632673, 14819.858559, 4.41, 7123.24757967
16522.5062306, 14753.3962329, 4.4, 7108.1596508
16451.5000771, 14687.0813406, 4.39, 7093.07093798
16380.6448146, 14620.9138849, 4.38, 7077.98143824
16309.9404511, 14554.8938683, 4.37, 7062.8911486
16239.3869944, 14489.0212936, 4.36, 7047.80006606
16168.9844526, 14423.2961635, 4.35, 7032.70818761
16098.7328335, 14357.7184808, 4.34, 7017.61551021
16028.6321452, 14292.2882482, 4.33, 7002.52203082
15958.6823957, 14227.0054685, 4.32, 6987.42774635
15888.8835931, 14161.8701444, 4.31, 6972.33265372
15819.2357455, 14096.8822787, 4.3, 6957.23674982
15749.738861, 14032.0418742, 4.29, 6942.14003153
15680.3929478, 13967.3489337, 4.28, 6927.04249568
15611.198014, 13902.80346, 4.27, 6911.94413912
15542.1540679, 13838.405456, 4.26, 6896.84495866
15473.2611177, 13774.1549244, 4.25, 6881.74495108
15404.5191718, 13710.0518681, 4.24, 6866.64411318
15335.9282384, 13646.0962899, 4.23, 6851.54244168
15267.4883259, 13582.2881928, 4.22, 6836.43993334
15199.1994427, 13518.6275795, 4.21, 6821.33658485
15131.0615972, 13455.1144531, 4.2, 6806.23239292
15063.0747978, 13391.7488163, 4.19, 6791.12735421
14995.2390531, 13328.5306721, 4.18, 6776.02146536
14927.5543716, 13265.4600234, 4.17, 6760.91472302
14860.0207617, 13202.5368732, 4.16, 6745.80712378
14792.6382321, 13139.7612244, 4.15, 6730.69866423
14725.4067915, 13077.13308, 4.14, 6715.58934092
14658.3264484, 13014.6524429, 4.13, 6700.47915041
14591.3972115, 12952.319316, 4.12, 6685.36808921
14524.6190897, 12890.1337025, 4.11, 6670.25615382
14457.9920915, 12828.0956053, 4.1, 6655.1433407
14391.516226, 12766.2050275, 4.09, 6640.02964632
14325.1915017, 12704.461972, 4.08, 6624.91506709
14259.0179278, 12642.8664419, 4.07, 6609.79959942
14192.9955129, 12581.4184402, 4.06, 6594.68323969
14127.1242661, 12520.1179701, 4.05, 6579.56598427
14061.4041964, 12458.9650347, 4.04, 6564.44782947
13995.8353127, 12397.9596369, 4.03, 6549.32877161
13930.4176242, 12337.1017799, 4.02, 6534.20880698
13865.1511398, 12276.3914669, 4.01, 6519.08793184
13800.0358688, 12215.8287009, 4.0, 6503.96614242
13735.0718202, 12155.4134852, 3.99, 6488.84343493
13670.2590033, 12095.1458228, 3.98, 6473.71980555
13605.5974274, 12035.0257169, 3.97, 6458.59525046
13541.0871016, 11975.0531708, 3.96, 6443.46976577
13476.7280354, 11915.2281877, 3.95, 6428.34334761
13412.520238, 11855.5507706, 3.94, 6413.21599204
13348.4637189, 11796.020923, 3.93, 6398.08769513
13284.5584874, 11736.6386479, 3.92, 6382.9584529
13220.8045532, 11677.4039488, 3.91, 6367.82826136
13157.2019256, 11618.3168287, 3.9, 6352.69711649
13093.7506142, 11559.3772911, 3.89, 6337.56501422
13030.4506287, 11500.5853392, 3.88, 6322.43195048
12967.3019786, 11441.9409763, 3.87, 6307.29792117
12904.3046737, 11383.4442058, 3.86, 6292.16292214
12841.4587236, 11325.0950309, 3.85, 6277.02694923
12778.7641382, 11266.8934551, 3.84, 6261.88999825
12716.2209271, 11208.8394817, 3.83, 6246.75206498
12653.8291004, 11150.9331141, 3.82, 6231.61314515
12591.5886677, 11093.1743557, 3.81, 6216.4732345
12529.4996392, 11035.5632099, 3.8, 6201.33232871
12467.5620247, 10978.0996801, 3.79, 6186.19042344
12405.7758343, 10920.7837698, 3.78, 6171.04751431
12344.141078, 10863.6154825, 3.77, 6155.90359694
12282.6577659, 10806.5948215, 3.76, 6140.75866687
12221.3259083, 10749.7217904, 3.75, 6125.61271966
12160.1455152, 10692.9963928, 3.74, 6110.46575079
12099.1165969, 10636.4186321, 3.73, 6095.31775575
12038.2391637, 10579.9885118, 3.72, 6080.16872997
11977.513226, 10523.7060355, 3.71, 6065.01866886
11916.938794, 10467.5712068, 3.7, 6049.8675678
11856.5158783, 10411.5840293, 3.69, 6034.71542212
11796.2444893, 10355.7445066, 3.68, 6019.56222714
11736.1246375, 10300.0526422, 3.67, 6004.40797811
11676.1563335, 10244.5084398, 3.66, 5989.2526703
11616.3395879, 10189.1119031, 3.65, 5974.0962989
11556.6744113, 10133.8630357, 3.64, 5958.93885908
11497.1608145, 10078.7618414, 3.63, 5943.78034598
11437.7988082, 10023.8083238, 3.62, 5928.62075469
11378.5884033, 9969.00248655, 3.61, 5913.46008028
11319.5296105, 9914.34433352, 3.6, 5898.29831778
11260.6224408, 9859.8338684, 3.59, 5883.13546217
11201.8669051, 9805.47109498, 3.58, 5867.97150841
11143.2630145, 9751.25601704, 3.57, 5852.80645142
11084.81078, 9697.18863837, 3.56, 5837.64028607
11026.5102128, 9643.26896282, 3.55, 5822.4730072
10968.3613239, 9589.49699421, 3.54, 5807.30460963
10910.3641246, 9535.87273641, 3.53, 5792.13508809
10852.5186261, 9482.39619329, 3.52, 5776.96443733
10794.8248398, 9429.06736875, 3.51, 5761.79265202
10737.2827771, 9375.88626671, 3.5, 5746.61972681
10679.8924494, 9322.8528911, 3.49, 5731.4456563
10622.6538681, 9269.96724587, 3.48, 5716.27043504
10565.5670448, 9217.22933499, 3.47, 5701.09405757
10508.6319911, 9164.63916245, 3.46, 5685.91651836
10451.8487186, 9112.19673227, 3.45, 5670.73781184
10395.217239, 9059.90204846, 3.44, 5655.5579324
10338.7375641, 9007.75511509, 3.43, 5640.3768744
10282.4097057, 8955.75593621, 3.42, 5625.19463215
10226.2336757, 8903.90451592, 3.41, 5610.01119989
10170.209486, 8852.20085833, 3.4, 5594.82657185
10114.3371485, 8800.64496756, 3.39, 5579.64074221
10058.6166754, 8749.23684776, 3.38, 5564.45370509
10003.0480788, 8697.97650311, 3.37, 5549.26545456
9947.63137069, 8646.86393779, 3.36, 5534.07598466
9892.36656343, 8595.89915601, 3.35, 5518.88528939
9837.25366928, 8545.08216201, 3.34, 5503.69336266
9782.29270058, 8494.41296004, 3.33, 5488.50019839
9727.48366975, 8443.89155438, 3.32, 5473.3057904
9672.82658923, 8393.51794931, 3.31, 5458.11013249
9618.32147157, 8343.29214917, 3.3, 5442.9132184
9563.96832936, 8293.21415829, 3.29, 5427.71504184
9509.76717525, 8243.28398102, 3.28, 5412.51559643
9455.71802197, 8193.50162176, 3.27, 5397.31487576
9401.8208823, 8143.86708492, 3.26, 5382.11287338
9348.0757691, 8094.38037492, 3.25, 5366.90958277
9294.48269527, 8045.04149621, 3.24, 5351.70499737
9241.04167379, 7995.85045327, 3.23, 5336.49911054
9187.75271772, 7946.8072506, 3.22, 5321.29191563
9134.61584017, 7897.91189273, 3.21, 5306.08340589
9081.63105431, 7849.16438418, 3.2, 5290.87357453
9028.79837342, 7800.56472955, 3.19, 5275.66241472
8976.11781079, 7752.1129334, 3.18, 5260.44991956
8923.58937981, 7703.80900038, 3.17, 5245.23608208
8871.21309396, 7655.65293511, 3.16, 5230.02089528
8818.98896675, 7607.64474227, 3.15, 5214.80435207
8766.91701178, 7559.78442654, 3.14, 5199.58644532
8714.99724274, 7512.07199264, 3.13, 5184.36716785
8663.22967335, 7464.50744531, 3.12, 5169.14651239
8611.61431743, 7417.09078932, 3.11, 5153.92447163
8560.15118889, 7369.82202947, 3.1, 5138.70103818
8508.84030167, 7322.70117056, 3.09, 5123.47620461
8457.68166982, 7275.72821745, 3.08, 5108.2499634
8406.67530746, 7228.903175, 3.07, 5093.02230699
8355.82122877, 7182.22604811, 3.06, 5077.79322774
8305.11944802, 7135.69684171, 3.05, 5062.56271795
8254.56997955, 7089.31556075, 3.04, 5047.33076984
8204.17283779, 7043.08221021, 3.03, 5032.09737558
8153.92803724, 6996.99679508, 3.02, 5016.86252726
8103.83559248, 6951.05932041, 3.01, 5001.62621691
8053.89551816, 6905.26979126, 3.0, 4986.38843647
8004.10782903, 6859.62821272, 2.99, 4971.14917784
7954.47253992, 6814.1345899, 2.98, 4955.90843283
7904.98966572, 6768.78892795, 2.97, 4940.66619316
7855.65922144, 6723.59123206, 2.96, 4925.4224505
7806.48122212, 6678.54150741, 2.95, 4910.17719645
7757.45568294, 6633.63975926, 2.94, 4894.93042252
7708.58261914, 6588.88599286, 2.93, 4879.68212014
7659.86204605, 6544.28021351, 2.92, 4864.43228067
7611.29397906, 6499.82242653, 2.91, 4849.18089539
7562.87843371, 6455.51263729, 2.9, 4833.92795552
7514.61542556, 6411.35085116, 2.89, 4818.67345215
7466.5049703, 6367.33707356, 2.88, 4803.41737634
7418.5470837, 6323.47130995, 2.87, 4788.15971904
7370.74178162, 6279.75356581, 2.86, 4772.90047113
7323.08908001, 6236.18384664, 2.85, 4757.63962339
7275.58899492, 6192.762158, 2.84, 4742.37716652
7228.24154248, 6149.48850546, 2.83, 4727.11309115
7181.04673893, 6106.36289464, 2.82, 4711.84738779
7134.0046006, 6063.38533117, 2.81, 4696.58004689
7087.1151439, 6020.55582075, 2.8, 4681.3110588
7040.37838537, 5977.87436907, 2.79, 4666.04041378
6993.79434161, 5935.34098189, 2.78, 4650.76810198
6947.36302934, 5892.95566499, 2.77, 4635.49411348
6901.08446539, 5850.71842418, 2.76, 4620.21843825
6854.95866667, 5808.62926532, 2.75, 4604.94106618
6808.9856502, 5766.68819428, 2.74, 4589.66198704
6763.1654331, 5724.89521701, 2.73, 4574.38119052
6717.4980326, 5683.25033945, 2.72, 4559.09866619
6671.98346602, 5641.7535676, 2.71, 4543.81440355
6626.62175081, 5600.40490749, 2.7, 4528.52839196
6581.41290451, 5559.2043652, 2.69, 4513.24062071
6536.35694476, 5518.15194684, 2.68, 4497.95107895
6491.45388933, 5477.24765854, 2.67, 4482.65975576
6446.70375609, 5436.49150649, 2.66, 4467.36664007
6402.10656301, 5395.88349692, 2.65, 4452.07172073
6357.6623282, 5355.4236361, 2.64, 4436.77498648
6313.37106986, 5315.11193032, 2.63, 4421.47642592
6269.2328063, 5274.94838592, 2.62, 4406.17602756
6225.24755596, 5234.93300929, 2.61, 4390.87377979
6181.4153374, 5195.06580687, 2.6, 4375.56967087
6137.73616928, 5155.3467851, 2.59, 4360.26368895
6094.21007041, 5115.7759505, 2.58, 4344.95582206
6050.83705968, 5076.35330962, 2.57, 4329.64605809
6007.61715612, 5037.07886905, 2.56, 4314.33438483
5964.5503789, 4997.95263543, 2.55, 4299.02078993
5921.6367473, 4958.97461543, 2.54, 4283.70526092
5878.8762807, 4920.14481579, 2.53, 4268.38778517
5836.26899865, 4881.46324326, 2.52, 4253.06834996
5793.81492081, 4842.92990466, 2.51, 4237.74694242
5751.51406696, 4804.54480685, 2.5, 4222.42354952
5709.36645703, 4766.30795673, 2.49, 4207.09815814
5667.37211106, 4728.21936126, 2.48, 4191.77075497
5625.53104924, 4690.27902742, 2.47, 4176.44132658
5583.84329188, 4652.48696228, 2.46, 4161.10985941
5542.30885946, 4614.84317291, 2.45, 4145.77633974
5500.92777255, 4577.34766646, 2.44, 4130.44075369
5459.7000519, 4540.00045012, 2.43, 4115.10308725
5418.62571837, 4502.80153113, 2.42, 4099.76332624
5377.70479299, 4465.75091678, 2.41, 4084.42145633
5336.93729691, 4428.84861441, 2.4, 4069.07746305
5296.32325145, 4392.09463141, 2.39, 4053.73133174
5255.86267806, 4355.48897523, 2.38, 4038.3830476
5215.55559834, 4319.03165336, 2.37, 4023.03259565
5175.40203404, 4282.72267335, 2.36, 4007.67996076
5135.40200707, 4246.56204281, 2.35, 3992.32512761
5095.5555395, 4210.54976939, 2.34, 3976.96808072
5055.86265353, 4174.68586079, 2.33, 3961.60880443
5016.32337153, 4138.9703248, 2.32, 3946.2472829
4976.93771605, 4103.40316922, 2.31, 3930.88350012
4937.70570978, 4067.98440195, 2.3, 3915.51743988
4898.62737556, 4032.71403092, 2.29, 3900.1490858
4859.70273643, 3997.59206412, 2.28, 3884.77842129
4820.93181557, 3962.6185096, 2.27, 3869.40542959
4782.31463633, 3927.79337548, 2.26, 3854.03009372
4743.85122225, 3893.11666994, 2.25, 3838.65239653
4705.54159703, 3858.5884012, 2.24, 3823.27232064
4667.38578453, 3824.20857757, 2.23, 3807.88984847
4629.38380881, 3789.9772074, 2.22, 3792.50496226
4591.53569411, 3755.8942991, 2.21, 3777.11764399
4553.84146482, 3721.95986118, 2.2, 3761.72787545
4516.30114556, 3688.17390216, 2.19, 3746.33563823
4478.91476109, 3654.53643068, 2.18, 3730.94091366
4441.68233639, 3621.04745541, 2.17, 3715.54368286
4404.6038966, 3587.7069851, 2.16, 3700.14392671
4367.6794671, 3554.51502856, 2.15, 3684.74162589
4330.9090734, 3521.47159468, 2.14, 3669.33676079
4294.29274127, 3488.57669241, 2.13, 3653.92931159
4257.83049664, 3455.83033078, 2.12, 3638.51925822
4221.52236565, 3423.23251888, 2.11, 3623.10658035
4185.36837465, 3390.78326588, 2.1, 3607.69125739
4149.3685502, 3358.48258101, 2.09, 3592.27326853
4113.52291906, 3326.3304736, 2.08, 3576.85259263
4077.83150821, 3294.32695304, 2.07, 3561.42920833
4042.29434484, 3262.47202879, 2.06, 3546.00309399
4006.91145635, 3230.76571038, 2.05, 3530.57422768
3971.68287039, 3199.20800745, 2.04, 3515.14258718
3936.6086148, 3167.7989297, 2.03, 3499.70815
3901.68871767, 3136.53848689, 2.02, 3484.27089335
3866.9232073, 3105.4266889, 2.01, 3468.83079413
3832.31211223, 3074.46354566, 2.0, 3453.38782895
3797.85546126, 3043.6490672, 1.99, 3437.9419741
3763.55328338, 3012.98326364, 1.98, 3422.49320556
3729.40560787, 2982.46614516, 1.97, 3407.041499
3695.41246422, 2952.09772205, 1.96, 3391.58682973
3661.57388218, 2921.87800468, 1.95, 3376.12917275
3627.88989177, 2891.8070035, 1.94, 3360.66850272
3594.36052323, 2861.88472908, 1.93, 3345.20479394
3560.98580709, 2832.11119204, 1.92, 3329.73802038
3527.76577412, 2802.48640313, 1.91, 3314.26815563
3494.70045538, 2773.01037317, 1.9, 3298.79517292
3461.78988217, 2743.68311308, 1.89, 3283.31904511
3429.03408609, 2714.50463389, 1.88, 3267.83974467
3396.43309899, 2685.47494671, 1.87, 3252.35724369
3363.98695303, 2656.59406276, 1.86, 3236.87151387
3331.69568064, 2627.86199336, 1.85, 3221.38252649
3299.55931454, 2599.27874993, 1.84, 3205.89025243
3267.57788775, 2570.844344, 1.83, 3190.39466216
3235.75143356, 2542.55878719, 1.82, 3174.89572569
3204.07998561, 2514.42209125, 1.81, 3159.39341263
3172.56357781, 2486.43426802, 1.8, 3143.88769213
3141.20224439, 2458.59532945, 1.79, 3128.37853287
3109.99601989, 2430.90528762, 1.78, 3112.8659031
3078.94493918, 2403.36415471, 1.77, 3097.34977056
3048.04903746, 2375.97194301, 1.76, 3081.83010254
3017.30835024, 2348.72866493, 1.75, 3066.30686581
2986.72291338, 2321.63433302, 1.74, 3050.78002667
2956.29276308, 2294.68895992, 1.73, 3035.24955086
2926.01793587, 2267.8925584, 1.72, 3019.71540364
2895.89846864, 2241.24514138, 1.71, 3004.17754972
2865.93439864, 2214.74672187, 1.7, 2988.63595324
2836.12576349, 2188.39731303, 1.69, 2973.09057782
2806.47260114, 2162.19692815, 1.68, 2957.54138648
2776.97494995, 2136.14558063, 1.67, 2941.98834167
2747.63284865, 2110.24328405, 1.66, 2926.43140524
2718.44633633, 2084.49005207, 1.65, 2910.87053843
2689.41545252, 2058.88589853, 1.64, 2895.30570186
2660.54023709, 2033.4308374, 1.63, 2879.73685552
2631.82073035, 2008.1248828, 1.62, 2864.16395873
2603.25697302, 1982.96804897, 1.61, 2848.58697018
2574.84900621, 1957.96035032, 1.6, 2833.00584783
2546.59687149, 1933.10180142, 1.59, 2817.420549
2518.50061083, 1908.39241696, 1.58, 2801.83103025
2490.56026665, 1883.83221183, 1.57, 2786.23724744
