# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
4831.56578451, 3055.35429888, 4.5, 1752.64890742
4814.05351818, 3042.56755879, 4.49, 1749.80424877
4796.56970221, 3029.80586525, 4.48, 1746.95883202
4779.11434421, 3017.06922088, 4.47, 1744.11265438
4761.68745181, 3004.35762829, 4.46, 1741.26571303
4744.28903265, 2991.6710901, 4.45, 1738.41800511
4726.91909443, 2979.00960894, 4.44, 1735.56952779
4709.57764481, 2966.37318746, 4.43, 1732.72027816
4692.26469158, 2953.7618283, 4.42, 1729.87025337
4674.98024249, 2941.17553414, 4.41, 1727.01945048
4657.72430533, 2928.61430763, 4.4, 1724.16786658
4640.49688792, 2916.07815148, 4.39, 1721.31549872
4623.29799812, 2903.56706836, 4.38, 1718.46234394
4606.12764382, 2891.08106098, 4.37, 1715.60839927
4588.98583293, 2878.62013206, 4.36, 1712.7536617
4571.87257339, 2866.18428432, 4.35, 1709.89812821
4554.78787319, 2853.77352049, 4.34, 1707.04179578
4537.73174031, 2841.38784332, 4.33, 1704.18466135
4520.70418281, 2829.02725557, 4.32, 1701.32672185
4503.70520873, 2816.69175999, 4.31, 1698.46797418
4486.73482618, 2804.38135938, 4.3, 1695.60841524
4469.79304329, 2792.09605651, 4.29, 1692.74804191
4452.87986822, 2779.83585418, 4.28, 1689.88685103
4435.99530916, 2767.60075521, 4.27, 1687.02483943
4419.13937435, 2755.39076242, 4.26, 1684.16200394
4402.31207201, 2743.20587863, 4.25, 1681.29834133
4385.51341045, 2731.04610669, 4.24, 1678.43384838
4368.74339798, 2718.91144945, 4.23, 1675.56852185
4352.00204296, 2706.80190979, 4.22, 1672.70235847
4335.28935378, 2694.71749057, 4.21, 1669.83535495
4318.60533884, 2682.65819469, 4.2, 1666.96750798
4301.95000661, 2670.62402504, 4.19, 1664.09881423
4285.32336555, 2658.61498453, 4.18, 1661.22927036
4268.72542421, 2646.6310761, 4.17, 1658.35887297
4252.15619112, 2634.67230267, 4.16, 1655.4876187
4235.61567488, 2622.73866718, 4.15, 1652.61550411
4219.10388409, 2610.83017261, 4.14, 1649.74252577
4202.62082742, 2598.94682191, 4.13, 1646.86868022
4186.16651356, 2587.08861808, 4.12, 1643.99396399
4169.74095123, 2575.2555641, 4.11, 1641.11837356
4153.34414919, 2563.44766298, 4.1, 1638.24190541
4136.97611623, 2551.66491775, 4.09, 1635.36455599
4120.6368612, 2539.90733142, 4.08, 1632.48632172
4104.32639294, 2528.17490706, 4.07, 1629.60719902
4088.04472037, 2516.4676477, 4.06, 1626.72718425
4071.79185242, 2504.78555643, 4.05, 1623.84627379
