# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
4841.56578451, 3045.35429888, 4.5, 1752.64890742
4824.05351818, 3032.56755879, 4.49, 1749.80424877
4806.56970221, 3019.80586525, 4.48, 1746.95883202
4789.11434421, 3007.06922088, 4.47, 1744.11265438
4771.68745181, 2994.35762829, 4.46, 1741.26571303
4754.28903265, 2981.6710901, 4.45, 1738.41800511
4736.91909442, 2969.00960894, 4.44, 1735.56952778
4719.57764482, 2956.37318746, 4.43, 1732.72027817
4702.26469159, 2943.7618283, 4.42, 1729.87025337
4684.98024249, 2931.17553414, 4.41, 1727.01945048
4667.72430533, 2918.61430763, 4.4, 1724.16786658
4650.49688792, 2906.07815148, 4.39, 1721.31549872
4633.29799812, 2893.56706835, 4.38, 1718.46234394
4616.12764383, 2881.08106098, 4.37, 1715.60839927
4598.98583293, 2868.62013206, 4.36, 1712.75366169
4581.87257339, 2856.18428432, 4.35, 1709.89812821
4564.78787319, 2843.77352049, 4.34, 1707.04179578
4547.73174031, 2831.38784332, 4.33, 1704.18466135
4530.70418281, 2819.02725557, 4.32, 1701.32672185
4513.70520873, 2806.69175999, 4.31, 1698.46797418
4496.73482618, 2794.38135938, 4.3, 1695.60841524
4479.79304329, 2782.09605651, 4.29, 1692.74804191
4462.87986822, 2769.83585418, 4.28, 1689.88685103
4445.99530916, 2757.60075521, 4.27, 1687.02483943
4429.13937435, 2745.39076242, 4.26, 1684.16200394
4412.31207201, 2733.20587863, 4.25, 1681.29834133
4395.51341045, 2721.04610669, 4.24, 1678.43384838
4378.74339798, 2708.91144946, 4.23, 1675.56852185
4362.00204296, 2696.80190979, 4.22, 1672.70235847
4345.28935378, 2684.71749057, 4.21, 1669.83535495
4328.60533884, 2672.65819469, 4.2, 1666.96750798
4311.9500066, 2660.62402504, 4.19, 1664.09881423
4295.32336556, 2648.61498453, 4.18, 1661.22927036
4278.72542421, 2636.6310761, 4.17, 1658.35887298
4262.15619113, 2624.67230267, 4.16, 1655.4876187
4245.61567488, 2612.73866718, 4.15, 1652.61550411
4229.10388408, 2600.83017261, 4.14, 1649.74252577
4212.62082742, 2588.94682191, 4.13, 1646.86868023
4196.16651356, 2577.08861808, 4.12, 1643.99396399
4179.74095124, 2565.2555641, 4.11, 1641.11837356
4163.34414919, 2553.44766298, 4.1, 1638.24190541
4146.97611624, 2541.66491775, 4.09, 1635.36455599
4130.6368612, 2529.90733142, 4.08, 1632.48632172
4114.32639294, 2518.17490706, 4.07, 1629.60719902
4098.04472037, 2506.4676477, 4.06, 1626.72718425
4081.79185242, 2494.78555643, 4.05, 1623.84627379
4065.56779806, 2483.12863632, 4.04, 1620.96446396
4049.37256633, 2471.49689047, 4.03, 1618.08175107
4033.20616626, 2459.89032198, 4.02, 1615.1981314
4017.06860692, 2448.30893398, 4.01, 1612.31360122
4000.95989746, 2436.7527296, 4.0, 1609.42815676
3984.88004704, 2425.22171198, 3.99, 1606.54179424
3968.82906484, 2413.71588428, 3.98, 1603.65450983
