#====================================================================================================
# MFTQCD EOS file generator - 0
# b_qcd = 90.000000, g_mg_ratio = 0.090000
#====================================================================================================
#==================== ==================== ==================== ==================== 
#              energy             pressure                  rho                 mu_B 
#==================== ==================== ==================== ==================== 
2126361.575173, 2124565.363688, 4.500000, 944650.430858
2032945.619702, 2031196.509704, 4.400000, 923668.665774
1941627.844634, 1939925.491167, 4.300000, 902686.822279
1852408.257962, 1850752.310818, 4.200000, 881704.897329
1765286.867994, 1763676.971507, 4.100000, 860722.887683
1680263.683366, 1678699.476198, 4.000000, 839740.789891
1597338.713077, 1595819.827980, 3.900000, 818758.600271
1516511.966505, 1515038.030076, 3.800000, 797776.314890
1437783.453433, 1436354.085846, 3.700000, 776793.929535
1361153.184083, 1359767.998806, 3.600000, 755811.439691
1286621.169142, 1285279.772631, 3.500000, 734828.840507
1214187.419802, 1212889.411175, 3.400000, 713846.126758
1143851.947799, 1142596.918477, 3.300000, 692863.292811
1075614.765452, 1074402.298782, 3.200000, 671880.332573
1009475.885717, 1008305.556557, 3.100000, 650897.239443
945435.322235, 944306.696508, 3.000000, 629914.006248
883493.089399, 882405.723603, 2.900000, 608930.625173
823649.202417, 822602.643094, 2.800000, 587947.087683
765903.677392, 764897.460548, 2.700000, 566963.384422
710256.531405, 709290.181874, 2.600000, 545979.505107
656707.782620, 655780.813360, 2.500000, 524995.438392
605257.450396, 604369.361713, 2.400000, 504011.171712
555905.555413, 555055.834106, 2.300000, 483026.691095
508652.119833, 507840.238229, 2.200000, 462041.980937
463497.167466, 462722.582357, 2.100000, 441057.023725
420440.723986, 419702.875420, 2.000000, 420071.799703
379482.817172, 378781.127090, 1.900000, 399086.286453
340623.477196, 339957.347886, 1.800000, 378100.458379
303862.736978, 303231.549301, 1.700000, 357114.286046
269200.632606, 268603.743950, 1.600000, 336127.735347
236637.203857, 236073.945759, 1.500000, 315140.766410
206172.494841, 205642.170196, 1.400000, 294153.332170
177806.554813, 177308.434565, 1.300000, 273165.376445
151539.439206, 151072.758378, 1.200000, 252176.831321
127371.210980, 126935.163844, 1.100000, 231187.613476
105301.942406, 104895.676517, 1.000000, 210197.618923
85331.717500, 84954.326183, 0.900000, 189206.715204
67460.635425, 67111.148100, 0.800000, 168214.729407
51688.815416, 51366.184808, 0.700000, 147221.428891
38016.404245, 37719.488865, 0.600000, 126226.488516
26443.588145, 26171.127246, 0.500000, 105229.430784
16970.613321, 16721.188923, 0.400000, 84229.505610
9597.824968, 9369.799283, 0.300000, 63225.414173
4325.753826, 4117.152002, 0.200000, 42214.529142
1155.367759, 963.599345, 0.100000, 21189.671039
#==================== ==================== ==================== ==================== 
#              energy             pressure                  rho                 mu_B 
#==================== ==================== ==================== ==================== 
